PartitionKey,RowKey,Company,DisplayName,GUID,Token
enlightenDataStoryDDFB78A6143E42CFAFBC50CCF18D978D,69,Enlighten Designs,Enlighten Data Story,enlightenDataStoryDDFB78A6143E42CFAFBC50CCF18D978D,Enlighten Designs
enlightenSlicerB18DC0CE4A1F4BA79CE49FBE40F3965F,70,Enlighten Designs,Enlighten Slicer,enlightenSlicerB18DC0CE4A1F4BA79CE49FBE40F3965F,Enlighten Designs
enlightenStackShuffle33EDB050C2424C618953642FFC0B291A,71,Enlighten Designs,Enlighten Stack Shuffle,enlightenStackShuffle33EDB050C2424C618953642FFC0B291A,Enlighten Designs
enlightenWaffleChartC94C0BDE416B413A8071A92B5E75A718,72,Enlighten Designs,Enlighten Waffle Chart,enlightenWaffleChartC94C0BDE416B413A8071A92B5E75A718,Enlighten Designs
enlightenWorldFlagsE887F52F76244B1C927F80CF9724AEF6,73,Enlighten Designs,Enlighten World Flags,enlightenWorldFlagsE887F52F76244B1C927F80CF9724AEF6,Enlighten Designs
flowFE43D2D02D3D4329995B15E94EDC9279,79,"Beijing Shangbei Zhixin Technology Co., Ltd.",flowMap by Sharewinfo,flowFE43D2D02D3D4329995B15E94EDC9279,"Beijing Shangbei Zhixin Technology Co., Ltd."
flowmap30CFDD5B92F848C88242B1E81C8C33C7,78,Weiwei Cui,Flow map,flowmap30CFDD5B92F848C88242B1E81C8C33C7,Weiwei Cui
funnelwithsource1823AB39DB234AB522063E728AD51,86,MAQ LLC,Funnel with Source by MAQ Software,funnelwithsource1823AB39DB234AB522063E728AD51,MAQ LLC
greetUser6CB07B751B8D459488570BBA348772CD,93,Sadaf K Ahmedi,greetUser,greetUser6CB07B751B8D459488570BBA348772CD,Sadaf K Ahmedi
heatFE43D2D02D3D4329995B15E94EDC9279,97,"Beijing Shangbei Zhixin Technology Co., Ltd.",HeatMapChina,heatFE43D2D02D3D4329995B15E94EDC9279,"Beijing Shangbei Zhixin Technology Co., Ltd."
heatStreams74779FE5319F4655BE62C4C5FD0ABFB1,95,MSR,Heat Streams,heatStreams74779FE5319F4655BE62C4C5FD0ABFB1,MSR
heatmapF244EA9EE1F34E828A80CF19B41976F8,96,Weiwei Cui,Heatmap,heatmapF244EA9EE1F34E828A80CF19B41976F8,Weiwei Cui
hexbinScatter70A7F14565444FAA99F786FAD6EA5AE1,98,BlueGranite,Hexbin Scatterplot,hexbinScatter70A7F14565444FAA99F786FAD6EA5AE1,BlueGranite
hierarchyChartByAkvelon6F792A8745784877BCD8F4ACA5AD4207,99,Akvelon,Hierarchy Chart by Akvelon,hierarchyChartByAkvelon6F792A8745784877BCD8F4ACA5AD4207,Akvelon
histogramXY6E3D5691159E41859A007A262D4B0E9E,102,MAQ LLC,Histogram with points by MAQ Software,histogramXY6E3D5691159E41859A007A262D4B0E9E,MAQ LLC
htmlViewerB24A1AEC2B4F4998B8E9A380662CAA2A,105,Hitachi Solutions,HTML viewer,htmlViewerB24A1AEC2B4F4998B8E9A380662CAA2A,Hitachi Solutions
impactBubbleChart9F474F4C9D2243D7A6BB693D25F75740,112,"InterKnowlogy, LLC",Impact Bubble Chart,impactBubbleChart9F474F4C9D2243D7A6BB693D25F75740,"InterKnowlogy, LLC"
journeyGraph1859AB39DB23421488ADF752BCB05167,114,MAQ LLC,Journey Chart by MAQ Software,journeyGraph1859AB39DB23421488ADF752BCB05167,MAQ LLC
kPI0A9FD39FD55944609DA4A968BE175489,115,Akvelon,KPI Chart by Akvelon,kPI0A9FD39FD55944609DA4A968BE175489,Akvelon
kPITableAF0DFBAE561448EA9A960BF4A2B0D1C9,119,DevScope,KPI Table,kPITableAF0DFBAE561448EA9A960BF4A2B0D1C9,DevScope
kpiTicker492C9305B9464241B52382527F977DE1,120,MAQ LLC,KPI Ticker by MAQ Software,kpiTicker492C9305B9464241B52382527F977DE1,MAQ LLC
narrativeAF44D3780B9743AB80246B39523323A3,128,Narrative Science,Narratives for Power BI,narrativeAF44D3780B9743AB80246B39523323A3,Narrative Science
outliersDetection7FCA,131,Microsoft,Outliers Detection,outliersDetection7FCA,Microsoft
paretoChartAD3E98E9DE714DE182B47FAFCEC3C7F7,133,Alexander Ivanov,Pareto Chart,paretoChartAD3E98E9DE714DE182B47FAFCEC3C7F7,Alexander Ivanov
pbiBubbles3E5A1BA1E8AC477CAA862EEB96B87842,31,Jack Butts,Chat Bubbles,pbiBubbles3E5A1BA1E8AC477CAA862EEB96B87842,Jack Butts
pbiCollageE166DE34940E43CA8FC3A9C1A52231D4,39,CloudScope,Collage by CloudScope,pbiCollageE166DE34940E43CA8FC3A9C1A52231D4,CloudScope
pbiOverView3784D1298B1B44E6936AFC1576E7AC81,132,CloudScope,Overview by CloudScope,pbiOverView3784D1298B1B44E6936AFC1576E7AC81,CloudScope
pbiVideoA76375500B3F48A487BF6D60E5DE7626,195,CloudScope,Video,pbiVideoA76375500B3F48A487BF6D60E5DE7626,CloudScope
powerKPI462CE5C2666F4EC8A8BDD7E5587320A3,137,Microsoft,Power KPI ,powerKPI462CE5C2666F4EC8A8BDD7E5587320A3,Microsoft
powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,138,Microsoft,Power KPI Matrix,powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6,Microsoft
quadrantChart1257AB39DB23121488AEB752BCB06127,142,MAQ LLC,Quadrant Chart by MAQ Software,quadrantChart1257AB39DB23121488AEB752BCB06127,MAQ LLC
qualityControlCharts263D60DC45BF4A968185B24403931A8B,143,Visual Bi Solutions,Quality Control Charts - Shewhart,qualityControlCharts263D60DC45BF4A968185B24403931A8B,Visual Bi Solutions
rDataTableF01A81A1541448719C37BCD0F9EABDD7,147,BlueGranite,rDataTable,rDataTableF01A81A1541448719C37BCD0F9EABDD7,BlueGranite
rPivotTable8B3D024D64314B469FFC4852A7ACBD5F,144,BlueGranite,R Pivot Table,rPivotTable8B3D024D64314B469FFC4852A7ACBD5F,BlueGranite
radarTargetChart4972805D5C4C4BD495CD9192AC21FD40,146,Microsoft,Radar Target Chart,radarTargetChart4972805D5C4C4BD495CD9192AC21FD40,Microsoft
rotatingChart1823AN39DB23210918ADF752ECB2A251,149,MAQ LLC,Rotating Chart by MAQ Software,rotatingChart1823AN39DB23210918ADF752ECB2A251,MAQ LLC
rotatingTile1859AB39DB23400988ADF752BCB9C967,150,MAQ LLC,Rotating Tile by MAQ Software,rotatingTile1859AB39DB23400988ADF752BCB9C967,MAQ LLC
routemap863828C4992A473C9A5FB6A6B0EDF5DC,151,Weiwei Cui,Route map,routemap863828C4992A473C9A5FB6A6B0EDF5DC,Weiwei Cui
scatterFE43D2D02D3D4329995B15E94EDC9279,156,"Beijing Shangbei Zhixin Technology Co., Ltd.",scatterMap,scatterFE43D2D02D3D4329995B15E94EDC9279,"Beijing Shangbei Zhixin Technology Co., Ltd."
simpleKPI8834183003554B1586236E8CAC1ADBE2,159,AllAboutData,Simple Responsive KPI visual,simpleKPI8834183003554B1586236E8CAC1ADBE2,AllAboutData
socialNetworkGraph99E9F31DDFD7429BACA50118466E4D11,162,Arthur Graus,Social Network Graph,socialNetworkGraph99E9F31DDFD7429BACA50118466E4D11,Arthur Graus
swDataTextBox142233AC1451461DB2DC3DAACF6A119C,170,"Beijing Shangbei Zhixin Technology Co., Ltd.",swDataTextBox,swDataTextBox142233AC1451461DB2DC3DAACF6A119C,"Beijing Shangbei Zhixin Technology Co., Ltd."
swOrgChart2A3BCE7191B5491FBB82F771A169702D,171,"Beijing Shangbei Zhixin Technology Co., Ltd.",swOrgChart,swOrgChart2A3BCE7191B5491FBB82F771A169702D,"Beijing Shangbei Zhixin Technology Co., Ltd."
textFilter25A4896A83E0487089E2B90C9AE57C8A,176,MSR,Text Filter,textFilter25A4896A83E0487089E2B90C9AE57C8A,MSR
threejsE0E480FFE18F46FE90AD2FA3A0D80C5F,91,Jack Butts,Globe Data Bars,threejsE0E480FFE18F46FE90AD2FA3A0D80C5F,Jack Butts
timeline1E0B9DD0A83A4E79BB5F9DE15C7690AE,110,BlueGranite,Image Timeline,timeline1E0B9DD0A83A4E79BB5F9DE15C7690AE,BlueGranite
titleboxF0BB233DD2994773B611FAC769C85681,185,Ilitia,Titlebox,titleboxF0BB233DD2994773B611FAC769C85681,Ilitia
treeImageFreeE1148639291D450198F892FA45A672BC,190,Klaus Birringer,Ultimate decomposition Tree,treeImageFreeE1148639291D450198F892FA45A672BC,Klaus Birringer
treeviz2DC46116C4554E20B59DD525EA4DC972,189,autocont,TreeViz,treeviz2DC46116C4554E20B59DD525EA4DC972,autocont
tweetlistEC3257599B0A40D19C16301EC2109CDE,182,CloudScope,Timeline by CloudScope,tweetlistEC3257599B0A40D19C16301EC2109CDE,CloudScope
twitterUserListC3F9093B9BF24EE48942A2D69AF68355,193,CloudScope,User List by CloudScope,twitterUserListC3F9093B9BF24EE48942A2D69AF68355,CloudScope
ultimateVariance9712E1351D4E4FA89077ED4D9351DC71,191,Klaus Birringer,Ultimate Variance,ultimateVariance9712E1351D4E4FA89077ED4D9351DC71,Klaus Birringer
ultimateWaterfall9712E1351D4E4FA89077ED4D9351DC71,192,Klaus Birringer,Ultimate Waterfall,ultimateWaterfall9712E1351D4E4FA89077ED4D9351DC71,Klaus Birringer
vennDiagram8527AJ74DB74562488PCR752UTY94651,194,MAQ Software,Venn Diagram by MAQ Software,vennDiagram8527AJ74DB74562488PCR752UTY94651,MAQ Software
vitarachartsMicrochart0A1B0D2B8A234CE5923234CD03573361,198,Vitara LLC,VitaraCharts - MicroChart,vitarachartsMicrochart0A1B0D2B8A234CE5923234CD03573361,Vitara LLC
